text,category,super_category
حيث تحدد الثقافة الغربيّة بأبعاد ثلاثة: الديانة المسيحية، القانون الروماني، والنزعة الإنسانية في الفلسفة اليونانية. النتاج التاريخي والثقافي لكل من عصر النهضة والثورة الصناعية أعطى مقومات منفردة وخصوصية لهذه الحضارة.,ثقافة,ميدان
الحضارة الغربية ذات الخلفية الثقافية المسيحية الغربية بشكليها الكاثوليكية-البروتستانتية، تمتد هذه الحضارة من أوروبا الغربية إلى دول البلطيق، وأنغلو-أمريكا، وأستراليا، ونيوزيلاندا وإسرائيل. تقوم هذه الحضارة على أساسين ومصدرين هما الحضارة اليونانية-الرومانية والديانة المسيحية. ,ثقافة,ميدان
ترتكز الحضارة على البحث العلمي والفني التشكيلي بالدرجة الأولى، فالجانب العلمي يتمثل في الابتكارات التكنولوجيا وعلم الاجتماع فأما الجانب الفني التشكيلي فهو يتمثل في الفنون المعمارية والمنحوتات وبعض الفنون التي تساهم في الرقي. فلو ركزنا بحثنا على أكبر الحضارات في العالم مثل الحضارة الرومانية سنجد أنها كانت تمتلك علماء وفنانين عظماء. فالفن والعلم هما عنصران متكاملان يقودان أي حضارة.,ثقافة,ميدان
ولا يمكن حصر الحضارة على الجانب المادي فقط كالمباني والقلاع والقصور أو اختزالها في أنماطٍ سياسية كالامبراطوريات والأسر الحاكمة والدول بل بما تنتجه أمةٌ ما من خصائص مميزة وفنون,ثقافة,ميدان
الحضارة هي نظام اجتماعي يعين الإنسان على الزيادة من إنتاجه الثقافي، وتتألف الحضارة من عناصر أربعة: الموارد الاقتصادية، والنظم السياسية، والتقاليد الخُلقية، ومتابعة العلوم والفنون؛ وهي تبدأ حيث ينتهي الاضطراب والقلق، لأنه إذا ما أمِنَ الإنسان من الخوف، تحررت في نفسه دوافع التطلع وعوامل الإبداع والإنشاء، وبعدئذ لا تنفك الحوافز الطبيعية تستنهضه للمضي في طريقه إلى فهم الحياة وازدهارها وباختصار الحضارة هي الرقي والازدهار في جميع الميادين والمجالات.,ثقافة,ميدان
يعتبر الحفاظ على التراث غير المادي هو حماية الهويات الثقافية، وبالتالي التنوع الثقافي للبشرية. ويشمل التراث غير المادي على سبيل المثال لا الحصر المهرجانات التقليدية والتقاليد الشفهية والملاحم، والعادات، وأساليب المعيشة، والحرف التقليدية، وما إلى ذلك.,ثقافة,ميدان
يشكل التراث الثقافي غير المادي -رغم عامل الهشاشة- ركيزة مهمة في الحفاظ على التنوع والتراث الثقافي في عصر العولمة المتزايدة، ففي فهم التراث الثقافي غير المادي للمجتمعات المحلية المختلفة يساعد على الحوار بين الثقافات ويشجع على الاحترام المتبادل لطريقة عيش الآخر.,ثقافة,ميدان
ويعاني هذا النوع التراثي غير المادي من الهشاشة بشكل خاص، حيث يتطلب الرعاية والمتابعة الدائمة بشكلٍ كاف كي لا يتعرض للتشويه أو الانقراض، ويُعد واحداً من أولويات اليونسكو في المجال الثقافي,ثقافة,ميدان
اتسع نطاق مفهوم التراث الثقافي بشكل كبير خلال القرن العشرين، وكان لليونسكو دور كبير في تحقيق هذا التوسع، الذي يشمل حالياً المناظر الطبيعية والآثار الصناعية، بل وامتد إلى أشكال أخرى مختلفة لها صلة بمفهوم التراث العالمي أو التراث المشترك بين بني الإنسان.[2] ,ثقافة,ميدان
 ولا يؤخذ في الحسبان لأغراض هذه الاتفاقية سوى التراث الثقافي غير المادي الذي يتفق مع الصكوك الدولية القائمة المتعلقة بحقوق الإنسان، ومع مقتضيات الاحترام المتبادل بين الجماعات والمجموعات والأفراد والتنمية المستدامة.,ثقافة,ميدان
